product-name,description,category,sub-category,brand
Le Cagole Men Crossbody Bag,"<p>Le Cagole Men Crossbody Bag in black Arena lambskin, aged-silver hardware</p><p>Dimensions: L6,3 x H7,8 inch</p><p>Arena lambskin</p><p>Adjustable crossbody strap (21,2 inch)</p><p>Leather braided shoulder pad</p><p>Aged-silver hardware</p><p>Front zipped pocket with knotted leather puller</p><p>Zipped closure with knotted leather puller</p><p>1 main compartment</p><p>1 back pocket</p><p>1 removable zipped pouch</p><p>1 removable EarPods holder to fit AirPods Pro</p><p>Balenciaga logo embossed on EarPods holder</p><p>Cotton canvas lining</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 100% lambskin</p>",Men,Bags,Balenciaga
Ace high-top sneaker,"<p>White leather Ace high-top sneaker.</p><p>Red metallic leather detail on the back of one shoe and blue metallic leather detail on the back of the other shoe.</p><p>Rubber sole.
</p><p>Made in Italy.</p>",Men,Shoes,Gucci
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Vest,<p>Intrecciato tech nylon vest. Snap closure. Unlined.</p><p>Colour: Black.</p><p>100% Polyamide.</p>,Men,Coats & Jackets,Bottega Veneta
,,,,
,,,,
HD Lace-Up Sneaker,<p>HD Lace-Up Sneaker in black rubber</p><p>Rubber</p><p>Sneaker</p><p>Balenciaga logo embossed at the edge of the toe</p><p>Embossed size on the upper</p><p>HD branding on the tongue</p><p>Sporty B logo at back</p><p>Molded sole and upper</p><p>Made in China</p><p>Wipe with a soft cloth</p><p>Material: 100% EVA</p>,Men,Shoes,Balenciaga
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
GG medium carry-on duffle,"<p>The GG Supreme carry-on duffle bag is designed with a vintage influence, trimmed with brown leather details and the House web in green and red in double stripes.<p>The carry-on is completed with a detachable and adjustable strap, lock with key holder and luggage tag.</p><p>Beige/ebony GG Supreme canvas, a material with low environmental impact, with brown leather trim Green and red Web Antique gold-toned hardware. Insert in leather made through an alternative metal or chrome free tanning process, reducing the environmental footprint compared to traditional methods. Eco nylon lining.<p>Interior zip pockets. Top handle with 13cm drop. Detachable and adjustable nylon shoulder strap with 50cm drop. Zipper closure.</p><p>Medium size: W36cm x H37cm x D13cm. Weight: 1kg. Made in Italy.</p>",Men,Bags,Gucci
Political Campaign Hoodie Medium Fit,<p>Political Campaign Hoodie Medium Fit in black and white curly fleece</p><p>Curly fleece</p><p>This item is unisex</p><p>Hood with drawstring</p><p>1 kangaroo pocket on front</p><p>Political Campaign artwork printed at chest and back</p><p>Made in Portugal</p><p>Cold machine wash</p><p>Material: 100% cotton</p>,Men,Tops,Balenciaga
,,,,
,,,,
,,,,
Skin XXL Cat Sunglasses,"<p>Skin XXL Cat Sunglasses in silver bio-based injected nylon with grey lenses are in several looks of the Balenciaga’s Winter 22 Collection, 360° Show</p><p>Temple length : 4,3 inch</p><p>Bridge length : 0,7 inch</p><p>Bio-based injected nylon frame and temples (65% bio-based)</p><p>Cat-eye shape</p><p>Standard fit</p><p>Balenciaga logo engraved on each temple</p><p>Lens material : Nylon</p><p>Lens category : 3</p><p>100% UVA/UVB protection</p><p>Not suitable for optical conversion</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>BB0252S</p><p>Material: 100% nylon",Men,Accessories,Balenciaga
McQueen Graffiti Hooded Sweatshirt,<p>Black loopback jersey hooded sweatshirt with a screen printed McQueen Graffiti logo. The sweatshirt has a front pocket and a drawstring hood. Finished with ribbed cuffs and hem.</p><p>100% Cotton.</p>,Men,Tops,Alexander McQueen
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Defender Sneaker,"<p>Defender Sneaker in black mesh and nylon is from the look 49 of the Balenciaga’s Summer 22, Red Carpet Collection. The Defender is a new superchunky sneaker with extreme tire tread.</p><p>Leather free</p><p>Sneaker</p><p>Mesh and nylon</p><p>Worn-Out effect</p><p>Extreme tire tread sole</p><p>15mm arch</p><p>Balenciaga logo debossed on the tongue</p><p>Balenciaga logo and size debossed at the edge of the toe and at back</p><p>Back pull-on tab</p><p>Made in China</p><p>Wipe with a soft cloth</p><p>Material: 60% polyurethane, 28% polyester, 12% nylon",Men,Shoes,Balenciaga
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Explorer Backpack Graffiti,"<p>Explorer Backpack in black Graffiti printed Arena lambskin</p><p>Dimensions: L13,7 x H18,5 x W7,8 inch</p><p>Graffiti printed Arena lambskin</p><p>Backpack</p><p>One top handle</p><p>Adjustable shoulder straps</p><p>Balenciaga logo embossed at front</p><p>Black matte hardware</p><p>Top double-ended zip-fastening closure</p><p>Front zipped pocket</p><p>1 inner zipped pocket</p><p>1 inner patch pocket</p><p>BB engraved zipper puller with cotton string</p><p>Cotton canvas lining</p><p>Made in Italy</p><p>Wipe with a soft cloth</p><p>Material: 85% lambskin, 15% polyester",Men,Bags,Balenciaga
T-Shirt,<p>Sunrise light cotton T-shirt. 'Bottega' tonal embroidery on back. Regular fit.</p><p>Colour: Parakeet.</p><p>100% Cotton.</p>,Men,Tops,Bottega Veneta
,,,,
,,,,
,,,,
Cities New York Coffee Cup,"<p>Cities New York Coffee Cup in black porcelain</p><p>Dimensions: H5,1 x Ø3,5 inch</p><p>Capacity : 30 cl</p><p>Porcelain</p><p>Balenciaga logo at front</p><p>1 lid made of thermoplastic elastomer</p><p>Made in China</p><p>Hand wash</p><p>The porcelain cup can be heated in a microwave oven but not the lid </p><p>Material: 100% porcelain - 83 % TPE, 17% polypropylene",Men,Accessories,Balenciaga
